Tag,Count
Single player,77
Main game,72
Adventure,54
Action,54
Multiplayer,29
Indie,29
Platform,27
Third person,26
Puzzle,25
Side view,25
Science fiction,23
Shooter,21
Comedy,21
Fantasy,20
Co-operative,18
Open world,16
First person,16
Sandbox,15
Historical,12
Strategy,11
Role-playing (RPG),11
Horror,10
DLC / Addon,10
Bird view,10
Stealth,9
Hack and slash/Beat 'em up,8
Nintendo,7
2K Games,6
Drama,6
Simulator,5
Racing,5
WB Games,5
Borderlands,4
Square Enix,4
Eidos Interactive,4
Gearbox Software,4
TT Fusion,4
Ubisoft Entertainment,4
Feral Interactive,3
Survival,3
Kids,3
Traveller's Tales,3
Super Mario,3
Take-Two Interactive,3
Point-and-click,3
Sleeping Dogs,3
Ubisoft Montreal,3
Arcade,2
Turn-based strategy (TBS),2
Sega,2
Split screen,2
Warfare,2
Nordic Games Publishing,2
Tomb Raider,2
Electronic Arts,2
Bioshock,2
Telltale Games,2
Ubisoft Quebec,2
Assassin's Creed,2
Aspyr Media,2
United Front Games,2
Capcom,2
The Legend of Zelda,2
THQ,2
Party,2
Crystal Dynamics,2
Real Time Strategy (RTS),2
Irrational Games,2
Standalone expansion,2
Triptych Games,2
Microsoft Studios,2
Ace Attorney,2
Rockstar Games,2
Nintendo EAD Group No. 3,2
Nintendo EAD Tokyo,2
Thriller,2
WayForward Technologies Inc.,1
OpenBook Co.,1
Legacy Interactive,1
Mystery,1
Ubisoft Romania,1
Bithell Games,1
The Quantum Astrophysicists Guild,1
GTA,1
Brandon Brizzi,1
4X (explore, expand, exploit, and exterminate),1
Abstraction Games,1
Curve Studios,1
Lego Marvel Super Heroes,1
Droqen,1
LEGO City,1
Digital Extremes,1
Curve Digital,1
Demruth,1
Fez,1
Tribute Games,1
Civilization,1
Twisted Tree,1
Massive Bear Studios,1
Teotl Studios,1
Experimental Gameplay,1
City Interactive,1
Ty Taylor & Mario Castañeda,1
Konami Digital Entertainment,1
Splash Damage,1
FTL: Faster Than Light,1
Klei Entertainment,1
Polytron Corporation,1
2K Czech,1
Maxis,1
High Voltage Software,1
The Creative Assembly,1
Expansion,1
Criterion Games,1
Spike ChunSoft,1
Spicy Horse Games,1
Deep Silver,1
Sport,1
Rockstar Vancouver,1
Going Load Studios,1
Ubisoft Shanghai,1
Sony Computer Entertainment, Inc. (SCEI),1
Tomorrow Corporation,1
Eyebrow Interactive,1
Rockstar New England,1
Virtual Programming,1
Meat Boy,1
Analogue: A Hate Story,1
The Men Who Wear Many Hats,1
Kyle Pulver,1
Devil's Details,1
Virtual Reality,1
SCEA - duplicate,1
Mafia,1
Burnout,1
The Walking Dead - A Telltale Games Series,1
Runic Games,1
Sos,1
Alexander Bruce,1
Darksiders,1
Ed Key and David Kanaga,1
Talawa Games,1
Call Of Juarez,1
Lego Batman,1
Lupus Studios Limited,1
1C Company,1
Alan Wake,1
Double Fine Productions,1
Just Cause,1
Crusader Kings,1
MercurySteam,1
StarCraft,1
Unigine Corp,1
Text,1
Airtight Games,1
Adventure Time,1
Torchlight,1
Namco Bandai Partners,1
Edmund McMillen,1
Subset Games,1
Paradox Development Studio,1
WB Games Montréal,1
Platinum Games,1
Analgesic Productions,1
Techland,1
Grim Tales,1
Firaxis Games,1
Tactical,1
Sniper: Ghost Warrior,1
Human Head Studios,1
Rockstar Toronto,1
American McGee's Alice,1
Ubisoft Kiev,1
Stealth Bastard,1
Yakuza Team,1
Vigil Games,1
Remedy Entertainment,1
Frozenbyte,1
Buzz Monkey Software,1
The Darkness,1
Nixxes Software,1
Love Conquers All Games,1
Suspicious Developments,1
Trine,1
Nintendo EAD Group No. 4,1
Swing Swing Submarine,1
Pocketwatch Games,1
Atlus,1
Rockstar North,1
Rockstar London,1
Volition Inc,1
Saints Row,1
Far Cry,1
Trapdoor,1
CyberFront Corporation,1
Max Payne,1
Microsoft Game Studios,1
Costume Quest,1
Blizzard Entertainment,1
Hassey Enterprises, Inc.,1
Human Soft,1
Fighting,1
E-Frontier,1
Avalanche Studios,1
Magicka,1
D3 Publisher,1
Droqen's Games,1
Paradox Interactive,1
Lego Lord of the Rings,1
Batman: Arkham,1
Castlevania: Lords of Shadow,1
